SRC:it	 engine1: ChatGPT to English	IMP	RAM	TRM	UGR	MIS	STL	PRF	PRN	SEGS	Google Translate to English	IMP.1	RAM.1	TRM.1	UGR.1	MIS.1	STL.1	PRF.1	PRN.1	SEGS.1	Human Gold Standard	Comment	Post-edited segment
Cosa fare - Alluvione	What to Do - Flood										What to Do - Flood										What to Do - Flood		
Imparare a prevenire e ridurre gli effetti di un'alluvione è un compito che riguarda tutti noi.	Learning to prevent and reduce the effects of a flood is a task for all of us.				1.0						Learning to prevent and reduce the effects of a flood is a task that concerns us all.					2.0					Learning how to prevent and reduce the effects of flooding is a task for all of us.	"ChatGPT: although using ""a flood"" is grammatically correct, in the generic/preventive context it is more natural to use ""flooding"" GT: even thoug acceptable, ""concerns us all"" is more impersonal than ""for all of us"", losing collectivity aspect which is important in this context"	
Condividi quello che sai in famiglia, a scuola, con amici e colleghi: la diffusione di informazioni sul rischio alluvione è una responsabilità collettiva, a cui tutti dobbiamo contribuire.	Share what you know with family, at school, with friends, and colleagues: spreading information about flood risk is a collective responsibility that we all must contribute to.				2.0		1.0				Share what you know with your family, school, friends and colleagues: spreading information about flood risk is a collective responsibility, to which we must all contribute.						1.0				Share what you know in your family, at school, with friends and colleagues: disseminating information about flood risk is a collective responsibility to which we all must contribute.	"ChatGPT: ""that we all must contribute to"" is grammatically acceptable but too colloquial; ""spreading"" is less imprecise than ""disseminating"" in this context GT: a slighlty idiomatic use of preposition (""with your family, school, friends and collegues"") that may create ambiguity"	
Anche tu, con semplici azioni, puoi contribuire a ridurre il rischio alluvione.	You too, with simple actions, can help reduce flood risk.						1.0				You too, with simple actions, can help reduce flood risk.						1.0				With simple actions, you can help reduce the risk of flooding.	ChatGPT & GT: starting the sentence like that sightly affect reading	
Rispetta l’ambiente e segnala al tuo Comune rifiuti ingombranti abbandonati, tombini intasati, corsi d’acqua parzialmente ostruiti, ecc.	Respect the environment and report abandoned bulky waste, clogged drains, partially obstructed waterways, etc., to your Municipality.										Respect the environment and report abandoned bulky waste, clogged drains, partially obstructed waterways, etc. to your Municipality.							1.0			Respect the environment, and if you see bulky waste abandoned, clogged drains, water courses, etc., partially obstructed, report it to the municipality.	"GT: missing comma after ""etc."""	
Informati sul Piano di protezione civile del tuo Comune per sapere quali sono le aree alluvionabili, le vie di fuga e le aree sicure della tua città.	Find out about your Municipality’s Civil Protection Plan to know the flood-prone areas, escape routes, and safe areas in your city.			2.0							Find out about your Municipality's Civil Protection Plan to find out which flood areas, escape routes and safe areas are in your city.			2.0			2.0				Find out about your municipality's Civil Protection Plan to learn about flood-prone areas, escape routes, and safe areas in your city.	"ChatGPT: ""to know"" is not suitable for this context GT: redundancy of ""find out""; ""flood areas"" is not enough precise"	
Se tu o un tuo familiare avete bisogno di particolare assistenza (persone con disabilità, anziani), segnalalo al Comune.	If you or a family member needs special assistance (people with disabilities, elderly), notify the Municipality.										If you or a family member need special assistance (people with disabilities, elderly), report it to the Municipality.										If you or a family member needs special assistance (people with disabilities, older people), report it to the municipality.		
Tieniti informato sulle allerte emesse dalla Regione o Provincia Autonoma e sulle azioni intraprese dal Comune.	Stay informed about alerts issued by the Region or Autonomous Province and actions taken by the Municipality.										Stay informed about alerts issued by the Region or Autonomous Province and actions taken by the Municipality.										Stay informed about alerts issued by the Region or Autonomous Province and actions taken by the municipality.		
Prepara un kit di emergenza che contenga, ad esempio, copia dei documenti, cassetta di pronto soccorso, torcia elettrica, radio a pile, ecc.	Prepare an emergency kit containing, for example, copies of documents, a first-aid kit, a flashlight, a battery-operated radio, etc.										Prepare an emergency kit that contains, for example, copies of documents, first aid kit, flashlight, battery-powered radio, etc.							1.0			Prepare an emergency kit containing, for example, a copy of documents, a first aid kit, a flashlight, a battery-powered radio, etc.	"GT: ""first aid kit"" missing hyphenation"	Prepare an emergency kit containing, for example, copies of documents, a first-aid kit, a flashlight, a battery-powered radio, etc.
Evita di conservare beni di valore in cantina o al piano seminterrato.	Avoid storing valuables in the basement or semi-basement level.			2.0							Avoid storing valuables in the cellar or basement.										Avoid storing valuables in the basement or cellar.	"ChatGPT: ""semi-basement"" is too technical for general audience"	
