SRC:it	 engine1: ChatGPT to English	IMP	RAM	TRM	UGR	MIS	STL	PRF	PRN	SEGS	Google Translate to English	IMP	RAM	TRM	UGR	MIS	STL	PRF	PRN	SEGS	Human Gold Standard	Comment	Post-edited segment
Cosa fare - Terremoto	What to do - Earthquake										What to do - Earthquake										What to do - Earthquake		
Con il consiglio di un tecnico	With the advice of a professional			2							With the advice of a technician										With the advice of a technician		
A volte basta rinforzare i muri portanti o migliorare i collegamenti fra pareti e solai: per fare la scelta giusta, fatti consigliare da un tecnico esperto.	Sometimes, it’s enough to reinforce load-bearing walls or improve the connections between walls and floors: to make the right choice, seek advice from an expert technician.						2				Sometimes it is enough to reinforce the load-bearing walls or improve the connections between walls and floors: to make the right choice, get advice from an expert technician.						2				Sometimes, you might just need to reinforce load-bearing walls or improve connections between walls and floors: to make the right choice, seek the advice of a qualified technician.		
Da solo	On your own										Alone					2	1				On your own		
Allontana mobili pesanti da letti o divani.	Move heavy furniture away from beds or sofas.										Move heavy furniture away from beds or sofas.										Move heavy furniture away from beds or sofas.		
Fissa alle pareti scaffali, librerie e altri mobili alti.	Secure shelves, bookcases, and other tall furniture to the walls.										Fix shelves, bookcases and other tall furniture to the walls.	2				4					Fix the wall shelves, bookcases, and other tall furniture.	GT: "fix" is not a correct translation of "fissa"; "secure" better conveys the importante of the action	Secure shelves, bookcases, and other tall furniture to the walls.
Appendi quadri e specchi con ganci chiusi, che impediscano loro di staccarsi dalla parete.	Hang pictures and mirrors using closed hooks to prevent them from detaching from the wall.			2							Hang pictures and mirrors with closed hooks, which prevent them from detaching from the wall.			2			4				Hang pictures and mirrors with closed hooks to prevent them from coming off the wall.	ChatGPT: "detaching" may be too technical for the audience GT: same as above; could use a simpler structure	
Metti gli oggetti pesanti sui ripiani bassi delle scaffalature; su quelli alti, puoi fissare gli oggetti con il nastro biadesivo.	Place heavy items on the lower shelves of furniture; for higher shelves, you can secure objects with double-sided tape.						2				Place heavy objects on the lower shelves of the shelves; on the higher ones, you can fix the objects with double-sided tape.	2				4	2				Put heavy items on lower shelves; you can hold objects with double-sided tape on the higher ones.	ChatGPT: "lower shelves of furniture" is too literal from IT GT: repetition, mistranslation of "fix" instead of "secure"	Put heavy items on lower shelves; on the higher ones, you can secure them with double-sided tape.
In cucina, utilizza un fermo per l’apertura degli sportelli dei mobili dove sono contenuti piatti e bicchieri, in modo che non si aprano durante la scossa.	In the kitchen, use latches on cabinet doors containing plates and glasses to prevent them from opening during a tremor.			4			2				In the kitchen, use a stopper to open the doors of the furniture where plates and glasses are stored, so that they do not open during the earthquake.	16				16	4				In the kitchen, secure the cupboard flaps where plates and glasses are stored so they do not open during the earthquake.	ChatGPT: "tremor" is a technical term, not suitable for this context GT: completely mistranslation: distorted meaning and can impact the security 	In the kitchen, secure the cupboard doors where plates and glasses are stored so they do not open during the earthquake.
Impara dove sono e come si chiudono i rubinetti di gas, acqua e l’interruttore generale della luce.	Learn the locations of and how to shut off the gas, water valves, and the main power switch.			4			8				Learn where the gas and water taps and the main light switch are and how to turn them off.			2		8					Learn where and how to close the gas and water taps and the main light switch.	ChatGPT: too literal translation, resulting in a too complicated sentence structure; "water valves" is not immediate GT: "light switch" is not the correct terminology, is too generic and may cause confusion	Learn where the gas and water taps and the main power switch are and how to turn them off.
Prepara un kit di emergenza che contenga, ad esempio, copia dei documenti, cassetta di pronto soccorso, torcia elettrica, radio a pile, ecc.	Prepare an emergency kit containing, for example, copies of important documents, a first aid kit, a flashlight, a battery-powered radio, etc.					1					Prepare an emergency kit that contains, for example, copies of documents, a first aid kit, a flashlight, a battery-powered radio, etc.										Prepare an emergency kit containing, for example, a copy of documents, a first aid kit, a flashlight, a battery-powered radio, etc.	ChatGPT: adding of "important" which it is not present in source	
Individua i punti sicuri dell’abitazione dove ripararti in caso di terremoto.	Identify safe spots in your home where you can take cover during an earthquake.			1			1				Identify safe places in your home where you can take shelter in the event of an earthquake.			1			2				Identify safe places in your home to take shelter during an earthquake.	ChatGPT: "take cover" may not be suitable for this context (more of a military domain); "spot" seems a literal translation from IT GT: "in the event of an earthquake" is too literal	
Informati sul Piano di protezione civile del tuo Comune.	Find out about your municipality's Civil Protection Plan.							1			Find out about your municipality's civil protection plan.							1			Inform yourself about your municipality's Civil Protection Plan.	ChatGPT & GT: minor proofreading errors regarding capitalised initials	Inform yourself about your municipality's Civil Protection plan.
Se sei in un luogo chiuso	If you are indoors										If you are indoors										Indoor		If you are indoors
Mettiti nel vano di una porta inserita in un muro portante (quello più spesso), vicino a una parete portante o sotto una trave, oppure riparati sotto un letto o un tavolo resistente.	Take cover in a doorway set in a load-bearing wall (the thickest one), near a load-bearing wall, or under a sturdy bed or table.	2				2	4				Get into a doorway in a load-bearing wall (the thickest one), near a load-bearing wall or under a beam, or take shelter under a sturdy bed or table.						4				Stand in a doorway built into a load-bearing wall (the thicker one), near a load-bearing wall or under a beam, or take cover under a resistant bed or table.	ChatGPT: style error because of a missing part of the source sentence GT: "get into a doorway", although correct, is not approariate for the intended audience, as it may cause confusion and doensn't convey the right meaning	Take cover in a doorway set in a load-bearing wall (the thickest one), near a load-bearing wall, or under a beam or a sturdy bed or table.
Al centro della stanza potresti essere colpito dalla caduta di oggetti, pezzi di intonaco, controsoffitti, mobili ecc.	In the middle of the room, you might be struck by falling objects, pieces of plaster, false ceilings, furniture, etc.						2				In the center of the room you could be hit by falling objects, pieces of plaster, false ceilings, furniture, etc.						2				In the middle of the room, you may be hit by falling objects, pieces of plaster, suspended ceilings, furniture, etc.	ChatGPT: "struck" is not the right term, is better to use "hit" GT: "center of the room" seems a calque from IT	
Non precipitarti fuori, ma attendi la fine della scossa.	Do not rush outside but wait for the tremor to stop.			8			2	2			Do not rush outside, but wait for the earthquake to end.						1				Do not rush outside, but wait until the shaking is over.	ChatGPT: "tremor" is too technical; missing comma befor "but"	Do not rush outside, but wait for the earthquake to end.
Se sei all’aperto	If you are outdoors										If you are outdoors										Outdoor		If you are outdoors
Allontanati da edifici, alberi, lampioni, linee elettriche: potresti essere colpito da vasi, tegole e altri materiali che cadono.	Move away from buildings, trees, streetlights, and power lines: you could be struck by falling pots, tiles, or other debris.	2					8				Move away from buildings, trees, street lamps, power lines: you could be hit by vases, tiles, and other falling materials.						8				Move away from buildings, trees, lampposts, power lines: you could be hit by vases, tiles and other materials that can fall	ChatGPT: "hit" instead of "struck"; "pots" is too generic and may be confused with kitchen pots; "debris" is too proficient GT: "streetlight" is more suitable	Move away from buildings, trees, streetlights, power lines: you could be hit by vases, tiles and other falling materials.
Fai attenzione alle possibili conseguenze del terremoto: crollo di ponti, frane, perdite di gas ecc.	Be mindful of potential earthquake aftermaths: bridge collapses, landslides, gas leaks, etc.			4		2	2				Pay attention to the possible consequences of an earthquake: collapsed bridges, landslides, gas leaks, etc.										Pay attention to other possible consequences of the earthquake: collapse of bridges, landslides, gas leaks, etc.	ChatGPT: "be mindful" is not appropriate for the context and "aftermaths" is not the right terminology	Pay attention to the possible consequences of an earthquake: collapsed bridges, landslides, gas leaks, etc.
Assicurati dello stato di salute delle persone attorno a te e, se necessario, presta i primi soccorsi.	Check the health of those around you and provide first aid if necessary.						1				Check the health of the people around you and, if necessary, provide first aid.						1				Ensure the health condition of the people around you and give first aid if necessary.	GT: style error as it is too literal, a calque from IT	Check the health of the people around you and provide first aid if necessary.
Prima di uscire chiudi gas, acqua e luce e indossa le scarpe. 	Before leaving, turn off the gas, water, and electricity, and wear shoes.										Before leaving, turn off the gas, water and electricity and put on your shoes.										Before leaving, turn off the gas, water, and electricity, and wear shoes.	GT: "put on your shoes" is too generic	
Uscendo, evita l’ascensore e fai attenzione alle scale, che potrebbero essere danneggiate.	When exiting, avoid using the elevator and be cautious with the stairs, which might be damaged.					2	4				When leaving, avoid the elevator and be careful of the stairs, which could be damaged.						2				On your way out, avoid the elevator and be careful on the stairs, as they may be damaged.	ChatGPT: "when exiting" is too literal  GT: "when leaving" is too generic	
Una volta fuori, mantieni un atteggiamento prudente.	Once outside, maintain a cautious attitude.										Once outside, maintain a prudent attitude.			4							Once outside, maintain a cautious attitude.	GT: "prudent" is too difficult for intended audience and belongs to other domains	
Se sei in una zona a rischio maremoto, allontanati dalla spiaggia e raggiungi un posto elevato.	If you are in a tsunami-risk area, move away from the beach and seek higher ground.										If you are in a tsunami risk area, move away from the beach and reach a high place.			2				1			If you are in a zone exposed to tsunami risk, move away from the beach and reach a higher place.	GT: minor proofreading error (missing hyphen); "reach high place" although correct, is less idiomatic for this context	If you are in a tsunami-risk area, move away from the beach and seek higher ground.
Limita, per quanto possibile, l’uso del telefono.	Limit phone usage as much as possible.										Limit, as much as possible, the use of the telephone.						2				Limit, as much as possible, the use of the phone.	GT: too literal and less immediate	Limit phone usage as much as possible.
Limita l’uso dell’auto per evitare di intralciare il passaggio dei mezzi di soccorso.	Limit car use to avoid obstructing emergency vehicles.						2				Limit the use of the car to avoid obstructing the passage of emergency vehicles.						1				Limit the use of the car to avoid obstructing the passage of emergency vehicles.	GT: more complicated structure than original	Limit car use to avoid obstructing emergency vehicles.
Raggiungi le aree di attesa previste dal Piano di protezione civile comunale.	Reach the designated assembly areas outlined in your municipality's Civil Protection Plan.						2	1			Reach the waiting areas provided for by the Municipal Civil Protection Plan.			2		1		1			Reach the waiting areas provided by your municipality's emergency plan.	ChatGPT: too literal, may be simplified for intended audience GT: minor proofreading errors (capitalisation); "waiting areas" is literal tr and not the correct terminology	Reach the designated assembly areas provided by your municipality's Civil Protection plan.
