SRC:it	 engine1: ChatGPT to English	IMP	TRM	UGR	MIS	STL	PRF	PRN	SEGS	Google Translate to English	IMP	TRM	UGR	MIS	STL	PRF	PRN	SEGS	Human Gold Standard	Comment	Post-edited segment
Cosa fare - Terremoto	What to do - Earthquake									What to do - Earthquake									What to do - Earthquake		
Con il consiglio di un tecnico	With the advice of a professional		2							With the advice of a technician									With the advice of a technician		#ERROR!
A volte basta rinforzare i muri portanti o migliorare i collegamenti fra pareti e solai: per fare la scelta giusta, fatti consigliare da un tecnico esperto.	Sometimes, it’s enough to reinforce load-bearing walls or improve the connections between walls and floors: to make the right choice, seek advice from an expert technician.					2				Sometimes it is enough to reinforce the load-bearing walls or improve the connections between walls and floors: to make the right choice, get advice from an expert technician.					2				Sometimes, you might just need to reinforce load-bearing walls or improve connections between walls and floors: to make the right choice, seek the advice of a qualified technician.		#ERROR!
Da solo	On your own									Alone				2					On your own		#ERROR!
Allontana mobili pesanti da letti o divani.	Move heavy furniture away from beds or sofas.									Move heavy furniture away from beds or sofas.									Move heavy furniture away from beds or sofas.		#ERROR!
Fissa alle pareti scaffali, librerie e altri mobili alti.	Secure shelves, bookcases, and other tall furniture to the walls.									Fix shelves, bookcases and other tall furniture to the walls.	2				4				Fix the wall shelves, bookcases, and other tall furniture.		#ERROR!
Appendi quadri e specchi con ganci chiusi, che impediscano loro di staccarsi dalla parete.	Hang pictures and mirrors using closed hooks to prevent them from detaching from the wall.		2							Hang pictures and mirrors with closed hooks, which prevent them from detaching from the wall.			16		2				Hang pictures and mirrors with closed hooks to prevent them from coming off the wall.		#ERROR!
Metti gli oggetti pesanti sui ripiani bassi delle scaffalature; su quelli alti, puoi fissare gli oggetti con il nastro biadesivo.	Place heavy items on the lower shelves of furniture; for higher shelves, you can secure objects with double-sided tape.					1				Place heavy objects on the lower shelves of the shelves; on the higher ones, you can fix the objects with double-sided tape.	8			16					Put heavy items on lower shelves; you can hold objects with double-sided tape on the higher ones.		#ERROR!
In cucina, utilizza un fermo per l’apertura degli sportelli dei mobili dove sono contenuti piatti e bicchieri, in modo che non si aprano durante la scossa.	In the kitchen, use latches on cabinet doors containing plates and glasses to prevent them from opening during a tremor.									In the kitchen, use a stopper to open the doors of the furniture where plates and glasses are stored, so that they do not open during the earthquake.	16	8		16	4				In the kitchen, secure the cupboard flaps where plates and glasses are stored so they do not open during the earthquake.		#ERROR!
Impara dove sono e come si chiudono i rubinetti di gas, acqua e l’interruttore generale della luce.	Learn the locations of and how to shut off the gas, water valves, and the main power switch.					8				Learn where the gas and water taps and the main light switch are and how to turn them off.	8			8					Learn where and how to close the gas and water taps and the main light switch.		#ERROR!
Prepara un kit di emergenza che contenga, ad esempio, copia dei documenti, cassetta di pronto soccorso, torcia elettrica, radio a pile, ecc.	Prepare an emergency kit containing, for example, copies of important documents, a first aid kit, a flashlight, a battery-powered radio, etc.				1					Prepare an emergency kit that contains, for example, copies of documents, a first aid kit, a flashlight, a battery-powered radio, etc.									Prepare an emergency kit containing, for example, a copy of documents, a first aid kit, a flashlight, a battery-powered radio, etc.		#ERROR!
Individua i punti sicuri dell’abitazione dove ripararti in caso di terremoto.	Identify safe spots in your home where you can take cover during an earthquake.		1			2				Identify safe places in your home where you can take shelter in the event of an earthquake.					2				Identify safe places in your home to take shelter during an earthquake.		#ERROR!
Informati sul Piano di protezione civile del tuo Comune.	Find out about your municipality's Civil Protection Plan.						1			Find out about your municipality's civil protection plan.						1			Inform yourself about your municipality's Civil Protection Plan.		#ERROR!
Se sei in un luogo chiuso	If you are indoors									If you are indoors									Indoor		#ERROR!
Mettiti nel vano di una porta inserita in un muro portante (quello più spesso), vicino a una parete portante o sotto una trave, oppure riparati sotto un letto o un tavolo resistente.	Take cover in a doorway set in a load-bearing wall (the thickest one), near a load-bearing wall, or under a sturdy bed or table.	2			4	4				Get into a doorway in a load-bearing wall (the thickest one), near a load-bearing wall or under a beam, or take shelter under a sturdy bed or table.					4				Stand in a doorway built into a load-bearing wall (the thicker one), near a load-bearing wall or under a beam, or take cover under a resistant bed or table.		#ERROR!
Al centro della stanza potresti essere colpito dalla caduta di oggetti, pezzi di intonaco, controsoffitti, mobili ecc.	In the middle of the room, you might be struck by falling objects, pieces of plaster, false ceilings, furniture, etc.					4				In the center of the room you could be hit by falling objects, pieces of plaster, false ceilings, furniture, etc.					2				In the middle of the room, you may be hit by falling objects, pieces of plaster, suspended ceilings, furniture, etc.		#ERROR!
Non precipitarti fuori, ma attendi la fine della scossa.	Do not rush outside but wait for the tremor to stop.		16				2			Do not rush outside, but wait for the earthquake to end.									Do not rush outside, but wait until the shaking is over.		#ERROR!
Se sei all’aperto	If you are outdoors									If you are outdoors									Outdoor		#ERROR!
Allontanati da edifici, alberi, lampioni, linee elettriche: potresti essere colpito da vasi, tegole e altri materiali che cadono.	Move away from buildings, trees, streetlights, and power lines: you could be struck by falling pots, tiles, or other debris.					1				Move away from buildings, trees, street lamps, power lines: you could be hit by vases, tiles, and other falling materials.					2				Move away from buildings, trees, lampposts, power lines: you could be hit by vases, tiles and other materials that can fall		#ERROR!
Fai attenzione alle possibili conseguenze del terremoto: crollo di ponti, frane, perdite di gas ecc.	Be mindful of potential earthquake aftermaths: bridge collapses, landslides, gas leaks, etc.				2	8				Pay attention to the possible consequences of an earthquake: collapsed bridges, landslides, gas leaks, etc.									Pay attention to other possible consequences of the earthquake: collapse of bridges, landslides, gas leaks, etc.		#ERROR!
Assicurati dello stato di salute delle persone attorno a te e, se necessario, presta i primi soccorsi.	Check the health of those around you and provide first aid if necessary.					1				Check the health of the people around you and, if necessary, provide first aid.					1				Ensure the health condition of the people around you and give first aid if necessary.		#ERROR!
