SRC:it	 ChatGPT to English	IMP_GPT	TRM_GPT	UGR_GPT	MIS_GPT	STL_GPT	PRF_GPT	PRN_GPT	SEGS_GPT	Google Translate to English	IMP_GT	TRM_GT	UGR_GT	MIS_GT	STL_GT	PRF_GT	PRN_GT	SEGS_GT	Gold Standard	Comment
Cosa fare - Alluvione	What to Do - Flood								0	What to Do - Flood								0	What to Do - Flood	
Imparare a prevenire e ridurre gli effetti di un'alluvione è un compito che riguarda tutti noi.	Learning to prevent and reduce the effects of a flood is a task for all of us.								0	Learning to prevent and reduce the effects of a flood is a task that concerns us all.				2				2	Learning how to prevent and reduce the effects of flooding is a task for all of us.	ChatGPT: although using "a flood" is grammatically correct, in the generic/preventive context it is more natural to use "flooding" GT: even thoug acceptable, "concerns us all" is more impersonal than "for all of us", losing collectivity aspect which is important in this context
Condividi quello che sai in famiglia, a scuola, con amici e colleghi: la diffusione di informazioni sul rischio alluvione è una responsabilità collettiva, a cui tutti dobbiamo contribuire.	Share what you know with family, at school, with friends, and colleagues: spreading information about flood risk is a collective responsibility that we all must contribute to.			2		1			3	Share what you know with your family, school, friends and colleagues: spreading information about flood risk is a collective responsibility, to which we must all contribute.					1			1	Share what you know in your family, at school, with friends and colleagues: disseminating information about flood risk is a collective responsibility to which we all must contribute.	ChatGPT: "that we all must contribute to" is grammatically acceptable but too colloquial; "spreading" is less imprecise than "disseminating" in this context GT: a slighlty idiomatic use of preposition ("with your family, school, friends and collegues") that may create ambiguity
Anche tu, con semplici azioni, puoi contribuire a ridurre il rischio alluvione.	You too, with simple actions, can help reduce flood risk.					1			1	You too, with simple actions, can help reduce flood risk.					1			1	With simple actions, you can help reduce the risk of flooding.	ChatGPT & GT: starting the sentence like that sightly affect reading
Rispetta l’ambiente e segnala al tuo Comune rifiuti ingombranti abbandonati, tombini intasati, corsi d’acqua parzialmente ostruiti, ecc.	Respect the environment and report abandoned bulky waste, clogged drains, partially obstructed waterways, etc., to your Municipality.								0	Respect the environment and report abandoned bulky waste, clogged drains, partially obstructed waterways, etc. to your Municipality.						1		1	Respect the environment, and if you see bulky waste abandoned, clogged drains, water courses, etc., partially obstructed, report it to the municipality.	GT: missing comma after "etc."
Informati sul Piano di protezione civile del tuo Comune per sapere quali sono le aree alluvionabili, le vie di fuga e le aree sicure della tua città.	Find out about your Municipality’s Civil Protection Plan to know the flood-prone areas, escape routes, and safe areas in your city.		2				1		3	Find out about your Municipality's Civil Protection Plan to find out which flood areas, escape routes and safe areas are in your city.		2			2	1		5	Find out about your municipality's Civil Protection Plan to learn about flood-prone areas, escape routes, and safe areas in your city.	ChatGPT: "to know" is not suitable for this context GT: redundancy of "find out"; "flood areas" is not enough precise
Se tu o un tuo familiare avete bisogno di particolare assistenza (persone con disabilità, anziani), segnalalo al Comune.	If you or a family member needs special assistance (people with disabilities, elderly), notify the Municipality.								0	If you or a family member need special assistance (people with disabilities, elderly), report it to the Municipality.								0	If you or a family member needs special assistance (people with disabilities, older people), report it to the municipality.	
Tieniti informato sulle allerte emesse dalla Regione o Provincia Autonoma e sulle azioni intraprese dal Comune.	Stay informed about alerts issued by the Region or Autonomous Province and actions taken by the Municipality.								0	Stay informed about alerts issued by the Region or Autonomous Province and actions taken by the Municipality.								0	Stay informed about alerts issued by the Region or Autonomous Province and actions taken by the municipality.	
Prepara un kit di emergenza che contenga, ad esempio, copia dei documenti, cassetta di pronto soccorso, torcia elettrica, radio a pile, ecc.	Prepare an emergency kit containing, for example, copies of documents, a first-aid kit, a flashlight, a battery-operated radio, etc.					1			1	Prepare an emergency kit that contains, for example, copies of documents, first aid kit, flashlight, battery-powered radio, etc.						1		1	Prepare an emergency kit containing, for example, a copy of documents, a first aid kit, a flashlight, a battery-powered radio, etc.	GT: "first aid kit" missing hyphenation
Evita di conservare beni di valore in cantina o al piano seminterrato.	Avoid storing valuables in the basement or semi-basement level.		2						2	Avoid storing valuables in the cellar or basement.								0	Avoid storing valuables in the basement or cellar.	ChatGPT: "semi-basement" is too technical for general audience
