SRC:it	 engine1: ChatGPT to English	IMP_GPT	RAM_GPT	TRM_GPT	UGR_GPT	MIS_GPT	STL_GPT	PRF_GPT	PRN_GPT	SEGS_GPT	Google Translate to English	IMP_GT	RAM_GT	TRM_GT	UGR_GT	MIS_GT	STL_GT	PRF_GT	PRN_GT	SEGS_GT	Human Gold Standard	Segment Penalty Score	Levenstein XXX-Human	Comment	Post-edited segment
Cosa fare - Alluvione	What to Do - Flood										What to Do - Flood										What to Do - Flood				
Imparare a prevenire e ridurre gli effetti di un'alluvione è un compito che riguarda tutti noi.	Learning to prevent and reduce the effects of a flood is a task for all of us.										Learning to prevent and reduce the effects of a flood is a task that concerns us all.										Learning how to prevent and reduce the effects of flooding is a task for all of us.		#ERROR!		
Condividi quello che sai in famiglia, a scuola, con amici e colleghi: la diffusione di informazioni sul rischio alluvione è una responsabilità collettiva, a cui tutti dobbiamo contribuire.	Share what you know with family, at school, with friends, and colleagues: spreading information about flood risk is a collective responsibility that we all must contribute to.										Share what you know with your family, school, friends and colleagues: spreading information about flood risk is a collective responsibility, to which we must all contribute.										Share what you know in your family, at school, with friends and colleagues: disseminating information about flood risk is a collective responsibility to which we all must contribute.		#ERROR!		
Anche tu, con semplici azioni, puoi contribuire a ridurre il rischio alluvione.	You too, with simple actions, can help reduce flood risk.										You too, with simple actions, can help reduce flood risk.										With simple actions, you can help reduce the risk of flooding.		#ERROR!		
Rispetta l’ambiente e segnala al tuo Comune rifiuti ingombranti abbandonati, tombini intasati, corsi d’acqua parzialmente ostruiti, ecc.	Respect the environment and report abandoned bulky waste, clogged drains, partially obstructed waterways, etc., to your Municipality.										Respect the environment and report abandoned bulky waste, clogged drains, partially obstructed waterways, etc. to your Municipality.										Respect the environment, and if you see bulky waste abandoned, clogged drains, water courses, etc., partially obstructed, report it to the municipality.		#ERROR!	HGS: "municipality" if it stands alone and is not used generically, it should be capitalized in government documents. Furthrmore, "etc. should be placed after "partially obstructed". Lastly, "watercourses" should be written as one word.	
Informati sul Piano di protezione civile del tuo Comune per sapere quali sono le aree alluvionabili, le vie di fuga e le aree sicure della tua città.	Find out about your Municipality’s Civil Protection Plan to know the flood-prone areas, escape routes, and safe areas in your city.										Find out about your Municipality's Civil Protection Plan to find out which flood areas, escape routes and safe areas are in your city.										Find out about your municipality's Civil Protection Plan to learn about flood-prone areas, escape routes, and safe areas in your city.		#ERROR!		
Se tu o un tuo familiare avete bisogno di particolare assistenza (persone con disabilità, anziani), segnalalo al Comune.	If you or a family member needs special assistance (people with disabilities, elderly), notify the Municipality.										If you or a family member need special assistance (people with disabilities, elderly), report it to the Municipality.		2								If you or a family member needs special assistance (people with disabilities, older people), report it to the municipality.		#ERROR!	GT: has moderate grammatical issues. "Needs" should be used instead of "need", because when a compound subject contains more than a noun joined by "or", the verb should follow the proximity rule. Furthrmore, there is a repetition of the same segment 8-78.	GPT: If you or a family member needs special assistance (people with disabilities, elderly), notify the Municipality. HGS: If you or a family member need special assistance (people with disabilities, older people), report it to the municipality.
Tieniti informato sulle allerte emesse dalla Regione o Provincia Autonoma e sulle azioni intraprese dal Comune.	Stay informed about alerts issued by the Region or Autonomous Province and actions taken by the Municipality.										Stay informed about alerts issued by the Region or Autonomous Province and actions taken by the Municipality.										Stay informed about alerts issued by the Region or Autonomous Province and actions taken by the municipality.		#ERROR!		
Prepara un kit di emergenza che contenga, ad esempio, copia dei documenti, cassetta di pronto soccorso, torcia elettrica, radio a pile, ecc.	Prepare an emergency kit containing, for example, copies of documents, a first-aid kit, a flashlight, a battery-operated radio, etc.										Prepare an emergency kit that contains, for example, copies of documents, first aid kit, flashlight, battery-powered radio, etc.										Prepare an emergency kit containing, for example, a copy of documents, a first aid kit, a flashlight, a battery-powered radio, etc.		#ERROR!	Repetition of the same segment: 10-57-308 	
Evita di conservare beni di valore in cantina o al piano seminterrato.	Avoid storing valuables in the basement or semi-basement level.										Avoid storing valuables in the cellar or basement.										Avoid storing valuables in the basement or cellar.		#ERROR!		
In questa fase, quando viene diramata un’allerta, è possibile compiere alcune azioni preventive per ridurre il rischio.	During this phase, when an alert is issued, you can take some preventive actions to reduce risk.										At this stage, when an alert is issued, there are some preventive actions that can be taken to reduce the risk.										You can take preventive actions to reduce the risk when an alert is issued.		#ERROR!		
Tieniti informato sulle situazioni di pericolo previste sul territorio e sulle misure adottate dal tuo Comune.	Stay informed about anticipated hazardous situations in the area and measures adopted by your Municipality.										Stay informed about the expected dangerous situations in your area and the measures adopted by your Municipality.										Keep yourself informed about the expected dangerous situations in the area and the measures adopted by your municipality.		#ERROR!		
Non dormire nei piani seminterrati ed evita di soggiornarvi.	Do not sleep in basements and avoid staying there.										Do not sleep in basements and avoid staying there.										Do not sleep in basements and avoid staying there.		#ERROR!		
Proteggi i locali che si trovano al piano strada e chiudi le porte di cantine, seminterrati o garage solo se non ti esponi a pericoli.	Protect street-level rooms and close basement or garage doors only if you are not putting yourself at risk.		1								Protect rooms located on the ground floor and close cellar, basement or garage doors only if you do not expose yourself to danger.										Protect rooms at street level and close cellar, basement, or garage doors only if you are not exposing yourself to danger.		#ERROR!	GPT: missing translation of the word "cantina" 	Protect street-level rooms and close basement, cellar or garage doors only if you are not putting yourself at risk.
Se ti devi spostare, valuta prima il percorso ed evita le zone allagabili.	If you need to move, plan your route first and avoid flood-prone areas.										If you have to move, evaluate the route first and avoid flood-prone areas.										If you need to move, assess the route first and avoid flood-prone areas.		#ERROR!		
Valuta bene se mettere al sicuro l’automobile o altri beni: può essere pericoloso.	Carefully consider if securing your car or other belongings is necessary, as it can be dangerous.										Consider carefully whether to secure your car or other property: it can be dangerous.										Carefully evaluate whether to secure your car or other possessions; it can be dangerous.		#ERROR!		
Condividi quello che sai sull’allerta e sui comportamenti corretti.	Share what you know about the alert and appropriate behaviors.										Share what you know about alertness and proper behaviors.				4						Share what you know about alertness and proper behavior.		#ERROR!	GT and HGS: both have major grammatical issues. Both use the adverb "alertness", that refers to the state of being ready, instead of the noun "alert".	Share what you know about the alert and proper behaviors.
Verifica che la scuola di tuo figlio sia informata dell’allerta in corso e sia pronta ad attivare il proprio piano di emergenza.	Check that your child’s school is aware of the ongoing alert and is ready to activate its emergency plan.										Make sure your child’s school is aware of the current alert and is ready to activate their emergency plan.				2						Check that your child's school is informed of the ongoing alert and is ready to activate its emergency plan.		#ERROR!	GT: has minor grammatical issues. Since school is singular it should be used "its" instead of "their". 	Make sure your child’s school is aware of the current alert and is ready to activate its emergency plan.
Se sei in un luogo chiuso	If you are indoors										If you are in a closed place										Indoor		#ERROR!	Repetition of the same segment: 20-60-145-416 	
Non scendere in cantine, seminterrati o garage per mettere al sicuro i beni: rischi la vita.	Do not go into basements, semi-basements, or garages to secure belongings: your life is at risk.										Do not go down into cellars, basements or garages to secure your belongings: you risk your life.										Do not enter cellars, basements, or garages to secure possessions; you will risk your life.		#ERROR!	Repetition of the same segment: 21-419 	
Non uscire assolutamente per mettere al sicuro l’automobile.	Do not leave to secure your car under any circumstances.										Do not go out at all to secure your car.										Do not go outside to secure the car.		#ERROR!	Repetition of the same segment: 22-420 	
Se ti trovi in un locale seminterrato o al piano terra, sali ai piani superiori. 	If you are in a semi-basement or on the ground floor, move to the upper floors. 										If you are in a basement or ground floor, go to the upper floors.										If you are in a basement or ground floor, go up to the upper floors.		#ERROR!	HGS: may benefit from conciseness, as it repeats "go up to the upper floors." Furthermore, there is a repetition of the same segment: 23-417 	If you are in a basement or ground floor, go to the upper floors.
Evita l’ascensore: si può bloccare.	Avoid using the elevator: it may stop.										 Avoid the elevator: it can get stuck.										 Avoid the elevator: it may get stuck.			Repetition of the same segment: 24-418 	
Aiuta gli anziani e le persone con disabilità che si trovano nell’edificio.	Help elderly and disabled people in the building.										Help the elderly and disabled people in the building.										Help older people and people with disabilities who are in the building.		#ERROR!	Repetition of the same segment: 25-421 	
Limita l’uso del cellulare: tenere libere le linee facilita i soccorsi.	Limit cell phone use: keeping lines free facilitates rescue operations.										Limit cell phone use: Keeping lines clear makes rescue easier.										Limit mobile phone use: keeping the lines clear makes rescuing easier.		#ERROR!	Repetition of the same segment: 26-414 	
Tieniti informato su come evolve la situazione e segui le indicazioni fornite dalle autorità.	Stay informed about the situation’s developments and follow instructions provided by authorities.										Stay informed about how the situation evolves and follow the indications provided by the authorities.										Stay informed on how the situation develops and follow directions provided by authorities.		#ERROR!	Repetition of the same segment: 27-415 	
Chiudi il gas e disattiva l’impianto elettrico. 	Turn off gas and electricity. 										Turn off the gas and turn off the electrical system.										Turn off the gas and the electrical system. 		#ERROR!	Repetition of the same segment: 28-423 	
Non toccare impianti e apparecchi elettrici con mani o piedi bagnati.	Do not touch electrical systems and devices with wet hands or feet.										 Do not touch electrical systems and appliances with wet hands or feet.										Do not touch any electrical fixtures and appliances with wet hands or feet.			Repetition of the same segment: 29-424	
Non bere acqua dal rubinetto: potrebbe essere contaminata.	Do not drink tap water: it may be contaminated.										Don't drink tap water: it may be contaminated.										Do not drink water from the tap; it may be contaminated.		#ERROR!	Repetition of the same segment: 30-422 	
Se sei all’aperto	If you are outdoors										If you are outdoors										Outdoor		#ERROR!	Repetition of the same segment: 31-64-148-223-338-378-407	
Allontanati dalla zona allagata: per la velocità con cui scorre l’acqua, anche pochi centimetri potrebbero farti cadere.	Move away from the flooded area: due to the speed of the water flow, even a few centimeters could cause you to fall.										Move away from the flooded area: due to the speed at which the water flows, even a few centimetres could cause you to fall.										Move away from the flooded area: due to the speed at which water flows, even a few inches could make you fall.		#ERROR!	Repetition of the same segment: 32-409 	
Raggiungi rapidamente l’area vicina più elevata, evitando di dirigerti verso pendii o scarpate artificiali che potrebbero franare.	Quickly reach the nearest higher area, avoiding slopes or artificial banks that could collapse.										Quickly reach the highest nearby area, avoiding heading towards slopes or artificial embankments that could collapse.										Reach the nearest high area quickly, avoiding heading to slopes or artificial embankments that could collapse.		#ERROR!		
Trova riparo ai piani superiori di un edificio.	Take shelter on the upper floors of a building.										Find shelter on the upper floors of a building.										Find shelter on the upper floors of a building.		#ERROR!		
Evita di utilizzare l’automobile. 	Avoid using your car. 										Avoid using your car. 										Avoid using a car. 		#ERROR!	Repetition of the same segment: 35-410	
Anche pochi centimetri d’acqua potrebbero farti perdere il controllo del veicolo o causarne lo spegnimento: rischi di rimanere intrappolato.	Even a few centimeters of water could make you lose control of the vehicle or cause it to stall, trapping you.										Even a few centimeters of water could cause you to lose control of your vehicle or cause it to stall, leaving you trapped.										Even a few inches of water could cause you to lose control of the vehicle or cause it to shut down; you might be trapped.			Repetition of the same segment: 36-411	
Evita sottopassi, argini, ponti: sostare o transitare in questi luoghi può essere molto pericoloso.	Avoid underpasses, embankments, bridges: standing or passing in these places can be very dangerous.										Avoid underpasses, embankments, bridges: stopping or driving in these places can be very dangerous.										Avoid underpasses, embankments, and bridges: stopping or transiting in these places can be very dangerous.		#ERROR!	Repetition of the same segment: 37-412	
