SRC:it	 engine1: ChatGPT to English	IMP	RAM	TRM	UGR	MIS	STL	PRF	PRN	SEGS	Google Translate to English	IMP	RAM	TRM	UGR	MIS	STL	PRF	PRN	SEGS	Human Gold Standard	Comment	Post-edited segment
Cosa fare - Alluvione	What to Do - Flood										What to Do - Flood										What to Do - Flood		
Imparare a prevenire e ridurre gli effetti di un'alluvione è un compito che riguarda tutti noi.	Learning to prevent and reduce the effects of a flood is a task for all of us.						1				Learning to prevent and reduce the effects of a flood is a task that concerns us all.										Learning how to prevent and reduce the effects of flooding is a task for all of us.		Learning to prevent and reduce the effects of a flood is a shared responsibility.
Condividi quello che sai in famiglia, a scuola, con amici e colleghi: la diffusione di informazioni sul rischio alluvione è una responsabilità collettiva, a cui tutti dobbiamo contribuire.	Share what you know with family, at school, with friends, and colleagues: spreading information about flood risk is a collective responsibility that we all must contribute to.										Share what you know with your family, school, friends and colleagues: spreading information about flood risk is a collective responsibility, to which we must all contribute.										Share what you know in your family, at school, with friends and colleagues: disseminating information about flood risk is a collective responsibility to which we all must contribute.		
Anche tu, con semplici azioni, puoi contribuire a ridurre il rischio alluvione.	You too, with simple actions, can help reduce flood risk.										You too, with simple actions, can help reduce flood risk.										With simple actions, you can help reduce the risk of flooding.		
Rispetta l’ambiente e segnala al tuo Comune rifiuti ingombranti abbandonati, tombini intasati, corsi d’acqua parzialmente ostruiti, ecc.	Respect the environment and report abandoned bulky waste, clogged drains, partially obstructed waterways, etc., to your Municipality.		1					1			Respect the environment and report abandoned bulky waste, clogged drains, partially obstructed waterways, etc. to your Municipality.		1					1			Respect the environment, and if you see bulky waste abandoned, clogged drains, water courses, etc., partially obstructed, report it to the municipality.	Depending on the target audience, 'municipality' may not be a good translation in terms of localization. In English, official entities are not capitalized.	
Informati sul Piano di protezione civile del tuo Comune per sapere quali sono le aree alluvionabili, le vie di fuga e le aree sicure della tua città.	Find out about your Municipality’s Civil Protection Plan to know the flood-prone areas, escape routes, and safe areas in your city.		1					1			Find out about your Municipality's Civil Protection Plan to find out which flood areas, escape routes and safe areas are in your city.		1			1					Find out about your municipality's Civil Protection Plan to learn about flood-prone areas, escape routes, and safe areas in your city.	Depending on the target audience, 'municipality' may not be a good translation in terms of localization. In English, official entities are not capitalized.	
Se tu o un tuo familiare avete bisogno di particolare assistenza (persone con disabilità, anziani), segnalalo al Comune.	If you or a family member needs special assistance (people with disabilities, elderly), notify the Municipality.		1				1	1			If you or a family member need special assistance (people with disabilities, elderly), report it to the Municipality.		1					1			If you or a family member needs special assistance (people with disabilities, older people), report it to the municipality.	Depending on the target audience, 'municipality' may not be a good translation in terms of localization. In English, official entities are not capitalized.	
Tieniti informato sulle allerte emesse dalla Regione o Provincia Autonoma e sulle azioni intraprese dal Comune.	Stay informed about alerts issued by the Region or Autonomous Province and actions taken by the Municipality.		1					1			Stay informed about alerts issued by the Region or Autonomous Province and actions taken by the Municipality.										Stay informed about alerts issued by the Region or Autonomous Province and actions taken by the municipality.	Depending on the target audience, 'municipality' may not be a good translation in terms of localization. In English, official entities are not capitalized.	
Prepara un kit di emergenza che contenga, ad esempio, copia dei documenti, cassetta di pronto soccorso, torcia elettrica, radio a pile, ecc.	Prepare an emergency kit containing, for example, copies of documents, a first-aid kit, a flashlight, a battery-operated radio, etc.						1				Prepare an emergency kit that contains, for example, copies of documents, first aid kit, flashlight, battery-powered radio, etc.										Prepare an emergency kit containing, for example, a copy of documents, a first aid kit, a flashlight, a battery-powered radio, etc.		
Evita di conservare beni di valore in cantina o al piano seminterrato.	Avoid storing valuables in the basement or semi-basement level.					1					Avoid storing valuables in the cellar or basement.										Avoid storing valuables in the basement or cellar.		
In questa fase, quando viene diramata un’allerta, è possibile compiere alcune azioni preventive per ridurre il rischio.	During this phase, when an alert is issued, you can take some preventive actions to reduce risk.										At this stage, when an alert is issued, there are some preventive actions that can be taken to reduce the risk.						1				You can take preventive actions to reduce the risk when an alert is issued.		
Tieniti informato sulle situazioni di pericolo previste sul territorio e sulle misure adottate dal tuo Comune.	Stay informed about anticipated hazardous situations in the area and measures adopted by your Municipality.		1					1			Stay informed about the expected dangerous situations in your area and the measures adopted by your Municipality.						1				Keep yourself informed about the expected dangerous situations in the area and the measures adopted by your municipality.		
Non dormire nei piani seminterrati ed evita di soggiornarvi.	Do not sleep in basements and avoid staying there.										Do not sleep in basements and avoid staying there.										Do not sleep in basements and avoid staying there.		
Proteggi i locali che si trovano al piano strada e chiudi le porte di cantine, seminterrati o garage solo se non ti esponi a pericoli.	Protect street-level rooms and close basement or garage doors only if you are not putting yourself at risk.						1				Protect rooms located on the ground floor and close cellar, basement or garage doors only if you do not expose yourself to danger.										Protect rooms at street level and close cellar, basement, or garage doors only if you are not exposing yourself to danger.		
Se ti devi spostare, valuta prima il percorso ed evita le zone allagabili.	If you need to move, plan your route first and avoid flood-prone areas.					1					If you have to move, evaluate the route first and avoid flood-prone areas.										If you need to move, assess the route first and avoid flood-prone areas.		
Valuta bene se mettere al sicuro l’automobile o altri beni: può essere pericoloso.	Carefully consider if securing your car or other belongings is necessary, as it can be dangerous.	1									Consider carefully whether to secure your car or other property: it can be dangerous.										Carefully evaluate whether to secure your car or other possessions; it can be dangerous.		
Condividi quello che sai sull’allerta e sui comportamenti corretti.	Share what you know about the alert and appropriate behaviors.										Share what you know about alertness and proper behaviors.	1									Share what you know about alertness and proper behavior.		
Verifica che la scuola di tuo figlio sia informata dell’allerta in corso e sia pronta ad attivare il proprio piano di emergenza.	Check that your child’s school is aware of the ongoing alert and is ready to activate its emergency plan.						1				Make sure your child’s school is aware of the current alert and is ready to activate their emergency plan.										Check that your child's school is informed of the ongoing alert and is ready to activate its emergency plan.		
Se sei in un luogo chiuso	If you are indoors										If you are in a closed place					1					Indoor		
Non scendere in cantine, seminterrati o garage per mettere al sicuro i beni: rischi la vita.	Do not go into basements, semi-basements, or garages to secure belongings: your life is at risk.						1				Do not go down into cellars, basements or garages to secure your belongings: you risk your life.										Do not enter cellars, basements, or garages to secure possessions; you will risk your life.		
Non uscire assolutamente per mettere al sicuro l’automobile.	Do not leave to secure your car under any circumstances.										Do not go out at all to secure your car.						1				Do not go outside to secure the car.		
Se ti trovi in un locale seminterrato o al piano terra, sali ai piani superiori. 	If you are in a semi-basement or on the ground floor, move to the upper floors. 										If you are in a basement or ground floor, go to the upper floors.										If you are in a basement or ground floor, go up to the upper floors.		
Evita l’ascensore: si può bloccare.	Avoid using the elevator: it may stop.					1					 Avoid the elevator: it can get stuck.										 Avoid the elevator: it may get stuck.		
Aiuta gli anziani e le persone con disabilità che si trovano nell’edificio.	Help elderly and disabled people in the building.										Help the elderly and disabled people in the building.										Help older people and people with disabilities who are in the building.		
Limita l’uso del cellulare: tenere libere le linee facilita i soccorsi.	Limit cell phone use: keeping lines free facilitates rescue operations.										Limit cell phone use: Keeping lines clear makes rescue easier.					1					Limit mobile phone use: keeping the lines clear makes rescuing easier.		
Tieniti informato su come evolve la situazione e segui le indicazioni fornite dalle autorità.	Stay informed about the situation’s developments and follow instructions provided by authorities.										Stay informed about how the situation evolves and follow the indications provided by the authorities.					1	1				Stay informed on how the situation develops and follow directions provided by authorities.		
Chiudi il gas e disattiva l’impianto elettrico. 	Turn off gas and electricity. 										Turn off the gas and turn off the electrical system.						1				Turn off the gas and the electrical system. 		
Non toccare impianti e apparecchi elettrici con mani o piedi bagnati.	Do not touch electrical systems and devices with wet hands or feet.					1					 Do not touch electrical systems and appliances with wet hands or feet.										Do not touch any electrical fixtures and appliances with wet hands or feet.		
Non bere acqua dal rubinetto: potrebbe essere contaminata.	Do not drink tap water: it may be contaminated.										Don't drink tap water: it may be contaminated.						1				Do not drink water from the tap; it may be contaminated.		
Se sei all’aperto	If you are outdoors										If you are outdoors										Outdoor		
Allontanati dalla zona allagata: per la velocità con cui scorre l’acqua, anche pochi centimetri potrebbero farti cadere.	Move away from the flooded area: due to the speed of the water flow, even a few centimeters could cause you to fall.										Move away from the flooded area: due to the speed at which the water flows, even a few centimetres could cause you to fall.	1									Move away from the flooded area: due to the speed at which water flows, even a few inches could make you fall.		
Raggiungi rapidamente l’area vicina più elevata, evitando di dirigerti verso pendii o scarpate artificiali che potrebbero franare.	Quickly reach the nearest higher area, avoiding slopes or artificial banks that could collapse.					1					Quickly reach the highest nearby area, avoiding heading towards slopes or artificial embankments that could collapse.	1									Reach the nearest high area quickly, avoiding heading to slopes or artificial embankments that could collapse.		
Trova riparo ai piani superiori di un edificio.	Take shelter on the upper floors of a building.										Find shelter on the upper floors of a building.										Find shelter on the upper floors of a building.		
Evita di utilizzare l’automobile. 	Avoid using your car. 										Avoid using your car. 										Avoid using a car. 		
Anche pochi centimetri d’acqua potrebbero farti perdere il controllo del veicolo o causarne lo spegnimento: rischi di rimanere intrappolato.	Even a few centimeters of water could make you lose control of the vehicle or cause it to stall, trapping you.	1									Even a few centimeters of water could cause you to lose control of your vehicle or cause it to stall, leaving you trapped.										Even a few inches of water could cause you to lose control of the vehicle or cause it to shut down; you might be trapped.		
Evita sottopassi, argini, ponti: sostare o transitare in questi luoghi può essere molto pericoloso.	Avoid underpasses, embankments, bridges: standing or passing in these places can be very dangerous.					1					Avoid underpasses, embankments, bridges: stopping or driving in these places can be very dangerous.										Avoid underpasses, embankments, and bridges: stopping or transiting in these places can be very dangerous.		
Fai attenzione a dove cammini: potrebbero esserci voragini, buche, tombini aperti, ecc.	Watch where you walk: there may be voids, holes, open manholes, etc.					1					Be careful where you walk: there may be sinkholes, potholes, open manholes, etc.										Be careful where you walk: there may be sinkholes, potholes, open manholes, etc.		
Segui le indicazioni delle autorità prima di intraprendere qualsiasi azione, come rientrare in casa, spalare fango, svuotare acqua dalle cantine, ecc.	Follow the authorities’ instructions before taking any action, such as returning home, shoveling mud, draining water from basements, etc.										Follow the instructions of the authorities before taking any action, such as re-entering the house, shoveling mud, emptying water from the cellars, etc.					1					Follow the directions of the authorities before taking any action, such as re-entering the house, shoveling mud, emptying water from basements, etc.		
Verifica se puoi riattivare il gas e l’impianto elettrico. 	Check if you can reactivate gas and electricity. 					1					Check if you can turn the gas and electrical systems back on. 										Check to see if you can reactivate the gas and the electrical system. 		
Se necessario, chiedi il parere di un tecnico.	If necessary, ask for a technician’s opinion.					1					If necessary, seek the advice of a technician.										If necessary, ask for a technician's advice.		
Prima di utilizzare i sistemi di scarico, informati che le reti fognarie, le fosse biologiche e i pozzi non siano danneggiati.	Before using drainage systems, ensure that sewer networks, septic tanks, and wells are undamaged.										Before using wastewater systems, make sure that sewer systems, septic tanks and wells are not damaged.					1					Before using sewage systems, find out whether sewer systems, septic tanks, and wells are not damaged.		
Non transitare lungo strade allagate: potrebbero esserci voragini, buche, tombini aperti o cavi elettrici tranciati.	Do not walk along flooded streets: there may be voids, holes, open manholes, or cut electrical wires.					1					Do not drive along flooded roads: there may be sinkholes, potholes, open manholes or severed electrical wires. 										Do not pass along flooded roads: there may be sinkholes, potholes, open manholes, or sheared electrical wires. 		
Inoltre, l’acqua potrebbe essere inquinata da carburanti o altre sostanze.	 Additionally, the water may be contaminated with fuel or other substances.										In addition, the water may be contaminated with fuel or other substances.										Also, the water could be polluted by fuels or other substances.		
Fai attenzione anche alle zone dove l’acqua si è ritirata: il fondo stradale potrebbe essere indebolito e cedere.	Be cautious even in areas where the water has receded: the road surface may be weakened and could collapse.	1									Also pay attention to areas where the water has receded: the road surface may be weakened and give way.										Pay attention to areas where the water has receded: the roadbed may weaken and fail.		
Prima di bere l’acqua dal rubinetto assicurati che ordinanze o avvisi comunali non lo vietino; 	Before drinking tap water, ensure that there are no municipal ordinances or warnings against it; 										Before drinking tap water, make sure there are no municipal ordinances or notices prohibiting it; 	1					1				Before drinking water from the tap, make sure municipal ordinances or notices do not prohibit it; 		
